MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,Unnamed: 0,pricePerHr,pricePerS,Iops,Memory
flights-m200,Azure,256,64,100M,0,0,stringSearch_firstName,148.35799479484558,1.353766702502966,,56.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,1,stringSearch_firstName,72.01431179046631,0.6571305950880052,,57.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,0,stringSearch_firstName,145.37723064422607,1.326567229628563,,58.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,1,stringSearch_firstName,70.37820148468018,0.6422010885477066,,59.0,32.85,0.009125000000000001,1100,256
flights-m50,Azure,32,8,1M,0,0,stringSearch_firstName,0.8905627727508545,0.001444690720240275,,60.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,1,stringSearch_firstName,0.5182709693908691,0.000840750683678521,,61.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,1,1,stringSearch_firstName,0.3862526416778564,0.0006265876187218559,,62.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,0,stringSearch_firstName,1.3692362308502195,0.0022212054411570228,,63.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,1,stringSearch_firstName,0.4804842472076416,0.000779452223247952,,64.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,1,1,stringSearch_firstName,0.4230942726135254,0.0006863529311286078,,65.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,0,stringSearch_firstName,1.4223666191101074,0.0023073947376675073,,66.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,1,stringSearch_firstName,0.4961376190185547,0.000804845470852322,,67.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,1,1,stringSearch_firstName,0.5020284652709961,0.000814401732550727,,68.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,0,stringSearch_firstName,1.0071885585784912,0.0016338836616939967,,69.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,1,stringSearch_firstName,0.5023105144500732,0.0008148592789967854,,70.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,1,1,stringSearch_firstName,0.3667693138122558,0.0005949813312954372,,71.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,0,stringSearch_firstName,0.858189582824707,0.001392174212137858,,72.0,5.84,0.0016222222222222222,500,32
